time,gFx,gFy,gFz,TgF
0.483975384,-0.4703,0.9428,0.3281,1.103
0.484432922,-0.4529,0.9352,0.3215,1.088
0.485976461,-0.4278,0.9306,0.3181,1.072
0.488192692,-0.3960,0.9281,0.3191,1.058
0.489117115,-0.3601,0.9269,0.3232,1.046
0.492172038,-0.3220,0.9281,0.3298,1.036
0.495338076,-0.2829,0.9298,0.3379,1.029
0.496088461,-0.2448,0.9330,0.3450,1.024
0.497599038,-0.2089,0.9374,0.3491,1.022
0.500584845,-0.1759,0.9423,0.3496,1.020
0.501317038,-0.1473,0.9469,0.3462,1.019
0.503968999,-0.1236,0.9513,0.3415,1.018
0.506144461,-0.1053,0.9550,0.3354,1.018
0.508381076,-0.0909,0.9587,0.3279,1.017
0.509407961,-0.0811,0.9628,0.3193,1.018
0.51214423,-0.0752,0.9670,0.3112,1.019
0.513406076,-0.0713,0.9706,0.3054,1.020
0.516145345,-0.0704,0.9733,0.3000,1.021
0.517653653,-0.0718,0.9762,0.2941,1.022
0.520161345,-0.0762,0.9789,0.2900,1.024
0.522064422,-0.0833,0.9804,0.2861,1.025
0.524084191,-0.0972,0.9819,0.2790,1.025
0.526126191,-0.1090,0.9831,0.2739,1.026
0.528078115,-0.1209,0.9828,0.2695,1.026
0.529675345,-0.1339,0.9819,0.2665,1.026
0.532185307,-0.1471,0.9802,0.2641,1.026
0.53406873,-0.1588,0.9772,0.2619,1.024
0.535967038,-0.1686,0.9748,0.2609,1.023
0.537171384,-0.1771,0.9721,0.2609,1.022
0.540061653,-0.1840,0.9675,0.2619,1.019
0.542325153,-0.1893,0.9631,0.2646,1.017
0.545043115,-0.1925,0.9594,0.2678,1.014
0.545991153,-0.1937,0.9555,0.2712,1.012
0.548623884,-0.1932,0.9521,0.2736,1.009
0.549313038,-0.1910,0.9504,0.2763,1.008
0.552496922,-0.1879,0.9489,0.2790,1.007
0.553615845,-0.1832,0.9479,0.2807,1.005
0.556775153,-0.1776,0.9482,0.2832,1.005
0.557548576,-0.1717,0.9494,0.2868,1.007
0.560277961,-0.1652,0.9511,0.2902,1.008
0.565833922,-0.1578,0.9523,0.2951,1.009
0.566853268,-0.1490,0.9533,0.3005,1.011
0.567357268,-0.1410,0.9552,0.3049,1.013
0.571391345,-0.1344,0.9574,0.3078,1.015
0.57203573,-0.1305,0.9596,0.3088,1.017
0.572380422,-0.1270,0.9609,0.3078,1.017
0.573403115,-0.1241,0.9618,0.3076,1.017
0.576221884,-0.1214,0.9631,0.3068,1.018
0.57900223,-0.1180,0.9648,0.3056,1.019
0.579886422,-0.1146,0.9665,0.3044,1.020
0.581420807,-0.1116,0.9689,0.3029,1.021
0.583524538,-0.1097,0.9706,0.3012,1.022
0.585479653,-0.1092,0.9728,0.3010,1.024
0.587336807,-0.1082,0.9753,0.3005,1.026
0.589408691,-0.1082,0.9775,0.2988,1.028
0.591318538,-0.1082,0.9794,0.2971,1.029
0.593872538,-0.1075,0.9797,0.2961,1.029
0.595518268,-0.1073,0.9802,0.2941,1.029
0.597479191,-0.1080,0.9819,0.2917,1.030
0.600111807,-0.1097,0.9843,0.2895,1.032
0.601941691,-0.1136,0.9860,0.2880,1.033
0.603983461,-0.1187,0.9885,0.2861,1.036
0.605985884,-0.1241,0.9907,0.2839,1.038
0.607933307,-0.1292,0.9931,0.2805,1.040
0.609922268,-0.1344,0.9946,0.2766,1.041
0.611806191,-0.1390,0.9960,0.2734,1.042
0.613387422,-0.1437,0.9975,0.2707,1.044
0.616126807,-0.1478,0.9990,0.2687,1.045
0.618101845,-0.1517,1.0009,0.2678,1.047
0.620183999,-0.1556,1.0026,0.2678,1.049
0.622258576,-0.1576,1.0048,0.2687,1.052
0.623100384,-0.1588,1.0073,0.2726,1.056
0.625977384,-0.1600,1.0083,0.2775,1.058
0.628064884,-0.1610,1.0092,0.2824,1.060
0.629399691,-0.1622,1.0102,0.2880,1.063
0.632370307,-0.1649,1.0107,0.2956,1.066
0.634079691,-0.1681,1.0119,0.3037,1.070
0.636080922,-0.1710,1.0129,0.3112,1.073
0.63809323,-0.1744,1.0136,0.3188,1.077
0.640096114,-0.1766,1.0131,0.3261,1.079
